PART NUMBER,OEM,DESCRIPTION,SHELF,LEVEL,ROW
1118-00113,N/A,Oil Intake Joint,UF-53,2,D
1111-00685,N/A,Gear Fuel Injection Pump,UF-53,2,D
1118-00765,N/A,Clamp Ring,UF-53,2,D
1108-00602,N/A,Switch Throttle Assy,UF-53,2,D
1104-02115,N/A,Bolt HP Connecting Pipe,UF-53,2,D
1109-01994,N/A,T-Clamp,UF-53,2,D
1118-00767,N/A,Oil Intake Joint,UF-53,2,D
1118-01846,N/A,O-Ring,UF-53,2,D
1122-00024,N/A,Fuel Nozzle Set,UF-53,2,D
1112-00465,N/A,Copper Sleeve Fuel Injector,UF-53,2,D
1315-00918,N/A,Bearing,UF-53,2,D
1300-00048,N/A,Pin Shaft,UF-53,2,D
1311-00781,N/A,Radiator Cap,UF-53,2,D
1602-00192,N/A,Bracket Clutch Booster,UF-53,2,D
1305-00049,N/A,Valve Water Drain,UF-53,2,D
1306-00279,N/A,Thermostat Assy,UF-53,2,D
1315-00117,N/A,Bearing Ball,UF-53,2,D
1109-00149,N/A,Clamp T-Shape,UF-53,2,D
1108-00684,N/A,Pedal Accelerator,UF-53,2,D
1108-00326,N/A,Valve Idler Speed Lift,UF-53,2,D
1104-00475,N/A,High Pressure Connecting Pipe,UF-53,2,D
1301-00278,N/A,Adjusting Rod Assy.,UF-53,2,D
1104-02116,1104-00584,Pipe High Pressure Connecting,UF-53,2,D
1104-00584,1104-02116,Pipe High Pressure Connecting,UF-53,2,D
1118-01282,1118-00257,Clamp Rear Turbine,UF-53,2,D
1205-03244,N/A,Adblue Tank Vent Valve,UF-53,3,E
1714-00734,N/A,Hex Head Bolt,UF-53,3,E
1604-00346,N/A,Repair Kit Clutch Booster,UF-53,3,E
1203-02433,N/A,Locking Pipe Clip,UF-53,3,E
1300-00181,N/A,Bracket Tie Rod Support Water Tank,UF-53,3,E
1300-00018,N/A,Adjusting Rod Assy,UF-53,3,E
1205-10881,N/A,Air Cleaner Element,UF-53,3,E
1714-00823,N/A,Bracket Release,UF-53,3,E
1303-01507,N/A,Pipe Bracket ,UF-53,3,E
1601-00455,N/A,Bearing Clutch Release,UF-53,3,E
1201-01585,N/A,Rubber Damping Mat,UF-53,3,E
1201-00739,N/A,Plate Exhaust Pipe Hanging,UF-53,3,E
1015-00170,N/A,Electric Brush Floor Assy,UF-53,3,E
1300-00050,N/A,Pin Shaft,UF-53,3,E
1315-01285,N/A,Shaft Transition Pulley,UF-53,3,E
1303-03531,N/A,Cushion,UF-53,3,E
1315-01261,N/A,Bearing ,UF-53,3,E
1201-00919,N/A,Bracket Exhaust Tail Pipe Fixing,UF-53,3,E
1608-00105,N/A,Clutch Master Cylinder,UF-53,3,E
1311-00629,N/A,Cap Radiator,UF-53,3,E
1311-00230,N/A,Seat Secondary Water Tank,UF-53,3,E
1205-00065,N/A,Catalytic Muffler Shim,UF-53,3,E
1118-02924,N/A,Oil Intake Joint,UF-53,3,E
1011-00096,N/A,Gear Oil Pump Drive,UF-53,3,E
1307-00081,N/A,O-ring Water Pump,UF-53,3,E
1112-00394,N/A,Fixing Plate,UF-53,3,E
1119-00024,N/A,Clamp Hose,UF-53,3,E
1604-00196,N/A,Clutch Slave Cylinder Push Rod,UF-53,3,E
1119-00771,1119-00026,Clamp Hose,UF-53,3,E
1111-00622,N/A,Pressure Limiting Valve,UF-53,3,E
1703-00539,N/A,Converter,UF-53,3,E
1306-00174,N/A,Thermostat Assy,UF-53,3,E
1311-00630,N/A,Cap Radiator,UF-53,3,E
1604-00059,N/A,Clutch Servo Return Spring,UF-53,3,E
1608-00015,N/A,Clutch Master Cylinder Repair Kit,UF-53,3,E
1306-00180,N/A,Cover Thermostat,UF-53,3,E
1307-00088,N/A,O-ring Water Pump,UF-53,3,F
1315-00118,N/A,Ball Bearing,UF-53,3,F
1014-00103,N/A,Pad Ventilator,UF-53,3,F
1301-01052,N/A,Pipe Clamp U-Bolt,UF-53,3,F
1604-00490,N/A,Repair Kit Clutch Master Cylinder,UF-53,3,F
1315-00126,N/A,Bearing Open,UF-53,3,F
1311-00940,N/A,Pressure Sealing Cap,UF-53,3,F
1604-00060,N/A,Repair Clutch Booster,UF-53,3,F
1601-00175,N/A,Bolt Flywheel Housing,UF-53,3,F
1604-00328,N/A,Spring Push Rod Return,UF-53,3,F
1025-00989,N/A,Belt Tensioner,UF-53,3,F
1306-00815,N/A,Thermostat,UF-53,3,F
1311-00782,N/A,Cap Radiator,UF-53,3,F
1766-00365,N/A,Plate Switch Pressure,UF-53,3,F
1013-00373,N/A,Pressure Regulating Valve,UF-53,3,F
1301-01053,N/A,Support Pipe Clamp,UF-53,3,F
1764-00559,N/A,Locknut,UF-53,3,F
1201-04862,N/A,Rubber Damping Mat,UF-53,3,F
1305-00010,N/A,Water Drain Valve,UF-53,3,F
1761-00034,N/A,Bolt,UF-53,3,F
1701-01830,N/A,Ball Sleeve Ball Head Bolt,UF-53,3,F
1602-00200,N/A,Bracket Clutch Booster,UF-53,3,F
1315-00917,N/A,Bearing,UF-53,3,F
1101-02644,N/A,Cover Oil Tank,UF-53,3,F
1302-00017,N/A,Stay Radiator,UF-53,3,F
1701-04122,N/A,Switch Neutral Gear,UF-53,3,F
1303-04409,N/A,Bracket Alternator Upper,UF-53,3,F
1701-04946,N/A,Switch Reverse Gear,UF-53,3,F
1109-02228,N/A,Clamp T- Shape,UF-53,3,F
1103-00008,N/A,Cap Fuel Tank,UF-53,3,F
1604-00190,N/A,Clutch Servo Rear Bracket,UF-53,3,F
1607-00098,N/A,Clutch Servo Oil Cup Filter Element,UF-53,3,F
1761-00185,N/A,Hollow Bolt,UF-53,3,F
1311-01436,N/A,Expansion Tank Cap,UF-53,4,G
1205-06439,N/A,Adblue Tank Cover,UF-53,4,G
1303-01514,N/A,Small Pipe Bracket ,UF-53,4,G
1111-00886,N/A,Overflow Valve,UF-53,4,G
1314-00272,N/A,Bearing Electromagnetic Clutch,UF-53,4,G
1201-00014,N/A,Clamp,UF-53,4,G
1205-00066,N/A,Temperature Sensor Shim,UF-53,4,G
1118-01165,N/A,Oil Inlet Pipe Joint Supercharger,UF-53,4,G
1013-00053,N/A,Water Drain Switch,UF-53,4,G
1311-01176,N/A,Cover Vent Pressure,UF-53,4,G
1311-01118,N/A,"Pressure Cover, Expansion Tank",UF-53,4,G
1765-01043,N/A,Reverse Gear Supercharger,UF-53,4,G
1604-00314,N/A,Clutch Servo Repair Kit ,UF-53,4,G
1311-01434,N/A,Expansion Tank Cover,UF-53,4,G
1315-00127,N/A,Bearing Ball,UF-53,4,G
1609-00013,N/A,Repair Kit Clutch Master Cylinder,UF-53,4,G
1301-01432,N/A,Stay Rod Radiator,UF-53,4,G
1607-00318,N/A,Oil Cap Clutch Booster,UF-53,4,G
1604-00313,N/A,Repair Kit Clutch Booster,UF-53,4,G
1134-00007,N/A,Valve Idler Speed Lift Cylinder,UF-53,4,G
1112-00131,N/A,Fuel Injector Assy,UF-53,4,G
1101-04680,N/A,Fuel Tank Cover,UF-53,4,G
1604-00530,N/A,Clutch Master Repair Kit,UF-53,4,G
1608-00130,1608-00082,Clutch Master Cylinder Assy,UF-53,4,G
1109-01430,N/A,Negative Pressure Sensor,UF-53,4,G
1300-00015,N/A,Stay Adjusting Rod Assy,UF-53,4,G
1703-00955,N/A,Ball Joint Shifting,UF-53,4,G
1306-00397,N/A,Thermostat Assy,UF-53,4,G
1604-00215,N/A,Repair Kit Clutch Sleeve Cylinder,UF-53,4,H
1101-06085,1101-01469,Fuel Tank Cover,UF-53,4,H
1306-00590,N/A,Plug,UF-53,4,H
1300-00491,N/A,Stay Radiator,UF-53,4,H
1702-00038,N/A,Race Bearing Countershaft Rear Gear,UF-53,5,I
1111-00545,N/A,Valve Fuel Metering,UF-53,5,I
1604-00529,N/A,Repair Kit Clutch Booster,UF-53,5,I
1111-00063,N/A,Gear Fuel Injection Pump,UF-53,5,I
1112-00307,1112-00572,Copper Sleeve Fuel Injector,UF-53,5,I
1306-00289,N/A,Thermostat Seat,UF-53,5,I
1127-00008,N/A,Auto Timer Balancer FIP,UF-53,5,I
1013-00273,N/A,Oil Cooler,UF-53,5,I
1111-00484,N/A,Drive Shaft Sleeve,UF-53,5,I
1013-00451,N/A,Oil Cooler,UF-53,5,I
1302-00014,N/A,Damping Shock Absorber Pad,UF-53,5,J
1315-00793,N/A,Adjusting Rod Assy,UF-53,5,J
1109-00152,N/A,Clamp Air Cleaner Element,UF-53,5,J
1205-04296,N/A,Adblue Level Sensor,UF-54,1,A
1205-06470,N/A,Adblue Level And Temperature Sensor ,UF-54,1,A
1101-06787,N/A,Oil Pan Fuel Tank,UF-54,1,A
1101-06788,N/A,Oil Pan Fuel Tank,UF-54,1,A
1108-00400,N/A,Three Function Pedal Assy,UF-54,1,B
1203-02480,N/A,Heat Insulation Sleeve,UF-54,1,B
1011-00059,N/A,Pump Oil Assy,UF-54,2,C
1003-00084,N/A,Valve Cover Assy Front,UF-54,2,C
1003-01092,N/A,Ventilator,UF-54,2,C
1002-00545,N/A,Idler Assy,UF-54,2,C
1111-00381,N/A,Coupling Fuel Injection Pump,UF-54,2,D
1111-00566,N/A,Coupling Plate Fuel Injection Pump,UF-54,2,D
1111-00366,N/A,Drive Shaft Sleeve Fuel Injection Pump,UF-54,2,D
1007-00491,N/A,Breather Assy (Ventilator),UF-54,2,D
1111-00560,1111-00261,Fuel Pump Bracket,UF-54,2,D
1002-00842,1111-00368,Cover Injection Pump Gear,UF-54,3,E
1008-00100,N/A,Pipe Intake Connecting,UF-54,3,E
1002-00356,N/A,Oil Filler Sub Assy,UF-54,3,E
1003-00268,N/A,Valve Cover Assy Rear,UF-54,3,E
1111-00104,N/A,Gear Fuel Injection Pump,UF-54,3,F
1006-00042,1006-00049,Gear Camshaft Timing ,UF-54,3,F
1002-01373,N/A,Idler Gear Compressor,UF-54,3,F
1005-00228,N/A,Gear Camshaft Timing ,UF-54,3,F
1005-01726,N/A,Gear Camshaft Timing ,UF-54,3,F
1011-00077,N/A,Oil Pump,UF-54,3,F
1308-00608,N/A,Fan Drive Shaft,UF-54,3,F
1025-00358,N/A,Tensioner Pulley,UF-54,3,F
1025-00663,1025-01098,Belt Tensioner,UF-54,3,F
1002-02657,N/A,Camshaft Bushing,UF-54,"3,4","F,H"
1703-03079,N/A,Connecting Rod Joint LH,UF-54,3,F
1703-03078,N/A,Connecting Rod Joint RH,UF-54,3,F
1703-02309,N/A,Cable Joint,UF-54,3,F
1011-00100,N/A,Pump Oil Assy,UF-54,4,G
1003-00108,N/A,Rear Cylinder Head Cover,UF-54,4,G
1002-01184,1014-00012,Seat Rear Crankshaft Oil Seal,UF-54,4,G
1014-00034,N/A,Oil Gas Separator ,UF-54,4,G
1007-00594,N/A,Gear Camshaft Timing,UF-54,4,H
1021-00020,N/A,Gear Crankshaft Timing,UF-54,4,H
1002-00102,N/A,Idler Air Compressor Pump,UF-54,4,H
1002-00588,N/A,Idler Gear Compressor,UF-54,4,H
1021-00004,N/A,Gear Ilder,UF-54,4,H
1002-01771,N/A,Camshaft Sleeve,UF-54,4,H
1009-01122,N/A,"Oil Sump Tray, Curved Groove",UF-54,4,H
1009-01121,N/A,"Oil Sump Tray, Straight Groove",UF-54,4,H
1002-00571,N/A,Timing Idler,UF-54,4,H
1011-00053,N/A,Oil Pump Intermediate Drive Gear,UF-54,4,H
1104-02974,N/A,"Oil Return Pipe, Common Rail Pipe",UF-54,4,H
1013-00325,N/A,Oil Cooler Water Inlet Hose,UF-54,4,H
1011-00186,N/A,Oil Pump Intermediate Gear Shaft,UF-54,4,H
1005-03295,N/A,Combined Washers,UF-54,4,H
1008-01567,N/A,Intake Manifold Gasket,UF-54,4,H
1007-02006,N/A,Tappet,UF-54,4,H
1005-02955,N/A,Flywheel Guide Bearing,UF-54,4,H
1007-01472,N/A,O-ring,UF-54,4,H
1703-02351,N/A,Connecting Rod Joint,UF-54,4,H
1703-01098,N/A,Connecting Rod Assy.,UF-54,4,H
1007-01755,N/A,Rocker Arm Seat,UF-54,5,I
1014-00111,N/A,Oil Gas Separator,UF-54,5,I
1002-01412,N/A,Timing Idler ,UF-54,5,I
1011-00310,N/A,Oil Pump,UF-54,5,I
1002-00537,1002-00088/1002-01828,Crankshaft Sleeve,UF-54,5,J
1122-00010,N/A,Coupling Plate Fuel Injection Pump,UF-54,5,J
1003-00109,N/A,Front Cylinder Cover,UF-54,5,J
1005-00303,3509-01177,Gear Air Compressor,UF-54,5,J
1006-00719,N/A,Camshaft Timing Gear,UF-54,5,J
1003-00482,N/A,Bolt Cylinder Head,UF-54,6,K
1003-00214,N/A,Cylinder Head Short Bolt,UF-54,6,K
1003-00222,1003-01533/1003-00066,Bolt,UF-54,6,K
1003-00059,N/A,Bolt Cylinder Head Long,UF-54,6,K
1005-01502,N/A,Bolt Hexagon Head Cap,UF-54,6,K
1005-01149,1005-02868,Bolt Damper Pulley,UF-54,6,L
1003-00186,N/A,Bolt Cylinder Head Long,UF-54,6,L
1003-00266,N/A,Bolt Cylinder Head Short,UF-54,6,L
1003-00265,1003-01701,Bolt Cylinder Head Long,UF-54,6,L
1005-00820,N/A,Damper Pulley,UF-54,7,M
1003-00060,N/A,Bolt Cylinder Head Short,UF-54,7,N
1011-00105,N/A,Oil Pump,UF-54,7,N
1008-00854,N/A,Exhaust Branch,UF-54,7,N
1205-07802,N/A,Adblue Tank,UF-55,1,A
1205-07894,N/A,Adblue Tank Body,UF-55,1,A
1205-06472,N/A,Adblue Level and Temperature Sensor ,UF-55,1,A
1205-11227,N/A,Dosing Injection Pump,UF-55,1,B
1203-19251,N/A,Heat Insulation Sleeve,UF-55,1,B
1005-00529,1005-02148,Bearing Main Bush,UF-55,2,C
1004-00733,N/A,Piston Ring,UF-55,2,C
1004-01760,N/A,Connecting Rod Bush,UF-55,2,C
1004-01866,N/A,Piston Ring,UF-55,2,C
1005-00510,N/A,Main Bearing Bush,UF-55,2,D
1005-03194,N/A,Main Bearing Bush ,UF-55,2,D
1005-02726,1005-00198,Flywheel Guide Bearing ,UF-55,2,D
1005-02540,N/A,Thrust Washer,UF-55,2,D
1006-00050,N/A,Bushing Camshaft,UF-55,3,E
1004-01342,1004-00736,Bushing Piston Pin,UF-55,3,E
1004-01272,N/A,Bushing Piston Pin,UF-55,3,E
1004-00289,N/A,Piston Pin,UF-55,3,F
1005-00443,N/A,Thrust Washer,UF-55,3,F
1006-00072,N/A,Camshaft Bushing Sleeve,UF-55,3,F
1004-01738,1004-00698,Bearing Con Rod,UF-55,3,F
1005-00879,1005-00835,Bearing Main Bush,UF-55,4,G
1005-01293,N/A,Bearing Main,UF-55,4,G
1005-00612,N/A,Bearing Main Bush,UF-55,4,G
1005-00836,N/A,Bearing Main Bush,UF-55,4,G
1005-00878,1005-00290/1005-03246,Thrust Washer,UF-55,4,H
1005-03314,1005-01240,Thrust Washer,UF-55,4,H
1005-01240,1005-03314,Thrust Washer,UF-55,4,H
1005-01295,N/A,Thrust Washer,UF-55,4,H
1004-01737,1004-00204,Bearing Con Rod,UF-55,5,I
1004-01773,1004-00287,Bearing Con Rod,UF-55,5,I
1004-01755,1004-00291,Bearing Con Rod,UF-55,5,I
1004-01904,N/A,Connecting Rod Bushing,UF-55,5,I
1004-01749,1004-00573,Pin Piston,UF-55,5,J
1005-01824,N/A,Bushing Sleeve Liner Flywheel,UF-55,5,J
1004-01172,N/A,Piston Pin,UF-55,5,J
1005-02857,1005-00103,Thrust Washer,UF-55,5,J
1007-00356,N/A,Air Exhaust Door,UF-55,6,K
1007-00355,N/A,Intake Valve,UF-55,6,K
1003-00387,N/A,Cylinder Head Bolt,UF-55,6,K
1007-01776,N/A,Intake Valve,UF-55,6,K
1007-00359,N/A,Valve Engine Intake,UF-55,6,K
1007-00187,1007-00172,Valve Engine Intake,UF-55,6,L
1007-00225,N/A,Valve Engine Exhaust,UF-55,6,L
1007-00429,N/A,Valve Engine Exhaust,UF-55,6,L
1007-00427,N/A,Valve Engine Intake,UF-55,6,L
1007-00230,N/A,Intake Valve,UF-55,6,L
1004-00154,N/A,Piston Pin,UF-55,7,M
1004-00203,N/A,Connecting Rod,UF-55,7,M
1007-00360,N/A,Valve Engine Exhaust,UF-55,7,N
1007-00759,N/A,Valve Engine Exhaust,UF-55,7,N
1004-00158,N/A,Push Rod,UF-55,7,N
1004-01772,N/A,Piston Ring,UF-56,1,A
1004-01084,N/A,Piston Ring,UF-56,1,A
1004-01242,N/A,Piston Ring,UF-56,2,C
1004-01082,N/A,Piston Ring,UF-56,2,C
1004-00814,1004-00610,Piston Ring,UF-56,2,C
1004-01770,N/A,Piston Ring,UF-56,2,C
1007-00848,N/A,Push Rod,UF-56,2,C
1007-02034,N/A,Tappet,UF-56,2,C
1007-00199,N/A,Valve Guide,UF-56,2,C
1007-02288,N/A,Valve Seat Ring Intake,UF-56,2,C
1007-01439,N/A,Valve Spring,UF-56,2,C
1007-00464,N/A,Valve Spring Upper Seat,UF-56,2,C
1004-00290,1004-01914,Piston Ring,UF-56,2,D
1004-00453,N/A,Piston Ring,UF-56,2,D
1004-01077,1004-00067,Piston Ring,UF-56,2,D
1007-00070,N/A,Valve Inner Spring,UF-56,3,E
1007-00933,N/A,Valve Bridge/ Connector,UF-56,3,E
1007-00344,N/A,Seat Spring Exhaust Valve,UF-56,3,E
1007-00361,N/A,Valve Lock Clip,UF-56,3,E
1007-00288,1007-01421,Valve Guide Air Pipe,UF-56,3,E
1007-00345,N/A,Seat Spring Intake Valve,UF-56,3,E
1002-00336,N/A,Gear Idler FIP,UF-56,3,E
1007-01002,N/A,Seat Spring Intake,UF-56,3,E
1007-01415,1007-01415,Valve Seal,UF-56,3,E
1007-01418,N/A,Valve Seat Ring Intake,UF-56,3,E
1007-00219,N/A,Valve Spring Seat,UF-56,3,E
1007-01419,N/A,Valve Seat Ring Exhaust,UF-56,3,E
1002-00097,N/A,Idler Anti Wear Plate,UF-56,3,E
1002-00099,N/A,Cover Camshaft End,UF-56,3,E
1002-00104,N/A,Bolt Idler Seat,UF-56,3,E
1002-00105,N/A,Plate Idler Gear Abrasion Reducing,UF-56,3,E
1002-00346,N/A,Cooling Nozzle,UF-56,3,E
1002-00427,1002-01668,Rear Main Oil Line Plug,UF-56,3,E
1002-00426,N/A,Plug Main Oil Passage,UF-56,3,E
1002-00520,N/A,O-ring Cylinder Block,UF-56,3,E
1002-00522,N/A,O-ring,UF-56,3,E
1002-00552,N/A,Sealing Ring Oil Filler Cap,UF-56,3,E
1002-00546,N/A,Idler Gear Shaft,UF-56,3,E
1002-00589,N/A,Spacer Crankshaft,UF-56,3,E
1002-00638,N/A,Fuel Bolt,UF-56,3,E
1002-00619,N/A,Gear Idler Sleeve,UF-56,3,E
1004-01259,N/A,Bolt Connecting Rod,UF-56,3,E
1002-00642,N/A,Idler Shaft,UF-56,3,E
1002-00641,N/A,Valve Pressure Regulating Assy,UF-56,3,E
1002-00584,N/A,Idler Shaft,UF-56,3,E
1004-00304,N/A,Circlip Piston Pin,UF-56,3,E
1005-00271,1004-00255,Piston Pin Retainer Ring,UF-56,3,E
1007-00304,N/A,Valve Seat Ring Intake,UF-56,3,E
1007-00346,N/A,Valve Lock Clip,UF-56,3,E
1002-00164,N/A,O-ring Cylinder Liner,UF-56,3,E
1003-01414,N/A,Valve Oil Seal,UF-56,3,E
1005-01728,N/A,Bearing Roller,UF-56,3,F
1004-01897,N/A,Connecting Rod Bush,UF-56,3,F
1004-00255,N/A,Piston Pin Retainer Ring,UF-56,3,F
1004-00162,1004-01172,Pin Piston,UF-56,3,F
1002-00370,N/A,Piston Cooling Nozzle,UF-56,3,F
1004-00250,N/A,Piston Ring,UF-56,3,F
1005-01931,N/A,Bolt Front Main Bearing,UF-56,3,F
1005-01932,N/A,Bolt Main Bearing,UF-56,3,F
1005-00894,N/A,Bolt Flywheel Housing,UF-56,3,F
1002-00987,N/A,Cone Key,UF-56,3,F
1005-00645,1005-02176,Thrust Washer Bearing Crankshaft,UF-56,3,F
1005-01276,N/A,O-ring Crankshaft,UF-56,3,F
1005-01503,N/A,Casing Pulley,UF-56,3,F
1005-00613,N/A,Thrust Washer,UF-56,3,F
1003-00376,1003-01603,Valve Seal,UF-56,3,F
1005-00220,N/A,Gear Crankshaft Timing,UF-56,3,F
1007-00329,N/A,Valve Air Inlet Seat,UF-56,3,F
1007-00424,N/A,Valve Seat Ring Intake,UF-56,3,F
1009-00075,N/A,Drain Cock,UF-56,3,F
1007-01781,1007-01863,Air Valve Guide,UF-56,3,F
1007-00972,N/A,Valve Seat Ring Exhaust,UF-56,3,F
1007-01003,N/A,Seat Spring Exhaust Valve,UF-56,3,F
1009-00135,N/A,Oil Drain Plug Magnet,UF-56,3,F
1009-00475,1009-00465,Oil Dipstick Seat,UF-56,3,F
1009-00255,N/A,Bolt Crankshaft,UF-56,3,F
1009-00063,N/A,Oil Retainer Disk,UF-56,3,F
1007-00428,N/A,Clip Valve Lock,UF-56,3,F
1109-00976,N/A,Valve Seat Ring Intake,UF-56,3,F
1004-01180,N/A,Bearing Con Rod,UF-56,3,F
1007-00149,N/A,Valve Engine Intake,UF-56,3,F
1007-00343,N/A,Valve Seat Ring Exhaust,UF-56,3,F
1002-01134,1023-00065,Pipe Oil Filler Connecting,UF-56,4,G
1002-00749,N/A,O-ring Cylinder Liner,UF-56,4,G
1002-00676,N/A,Idler Shaft,UF-56,4,G
1002-00743,N/A,Fuel Bolt,UF-56,4,G
1002-00521,N/A,O-ring Air Compressor,UF-56,4,G
1002-00529,N/A,Cover Air Compressor Front,UF-56,4,G
1002-01135,1023-00066,Cap Oil Filler Front End,UF-56,4,G
1002-00066,N/A,Lining Idler Gear,UF-56,4,G
1003-00213,N/A,Bolt Cylinder Head Long,UF-56,4,G
1007-00537,N/A,Intake Valve Seat Race,UF-56,4,G
1004-00380,N/A,Clip Piston Pin,UF-56,4,G
1002-00082,1002-01120,O-ring Rectangular,UF-56,4,G
1003-00155,N/A,Spring Valve Inner,UF-56,4,G
1003-00545,N/A,Bolt Cylinder Head Long,UF-56,4,G
1002-01234,N/A,Piston Cooling Nozzle,UF-56,4,G
1003-00546,N/A,Bolt Cylinder Head Short,UF-56,4,G
1007-00305,N/A,Valve Seat Ring Intake,UF-56,4,G
1006-00129,00167/00113,Gear Camshaft Timing,UF-56/UC-17,"4,3","G,F"
1005-02355,N/A,Mounting Plate,UF-56,4,G
1007-00362,N/A,Valve Spring Seat,UF-56,4,G
1003-00153,1007-01870,Valve Seal,UF-56,4,G
1007-00147,N/A,Valve Tappet,UF-56,4,G
1007-00760,N/A,Valve Seal,UF-56,4,G
1007-00432,N/A,Valve Tappet,UF-56,4,G
1007-00145,N/A,Valve Guide Pipe,UF-56,4,G
1003-01827,N/A,Clamping Block,UF-56,4,G
1006-00089,N/A,Semicircle Key ,UF-56,4,G
1008-01092,N/A,Bolt Sleeve,UF-56,4,G
1007-01356,1007-00364,Push Rod ,UF-56,4,H
1007-00591,1007-01999,Valve Tappet,UF-56,4,H
1005-00502,N/A,Bearing Main,UF-56,4,H
1007-00081,N/A,Spring Valve Outer,UF-56,4,H
1002-00583,1021-00001,Idler Gear Compressor,UF-56,4,H
1007-00774,N/A,Valve Seat Ring Intake,UF-56,4,H
1006-00073,N/A,Cover Camshaft End,UF-56,4,H
1007-00536,N/A,Valve Engine Intake,UF-56,4,H
1004-00309,N/A,Pin Piston,UF-56,4,H
1005-01856,N/A,Bolt Crankshaft,UF-56,4,H
1006-00045,N/A,Bushing Camshaft,UF-56,4,H
1005-01535,N/A,Gear Crankshaft Timing,UF-56,4,H
1006-00044,N/A,Camshaft Thrust Pad,UF-56,4,H
1005-01917,N/A,Pin Flat,UF-56,4,H
1005-01857,N/A,Tapper Key,UF-56,4,H
1003-01227,N/A,Valve Seal,UF-56,4,H
1005-01918,N/A,Bearing Bush,UF-56,4,H
1003-01828,N/A,Cylinder Head Bolt Long ,UF-56,4,H
1006-00063,N/A,Bushing Camshaft Timing Gear ,UF-56,4,H
1008-01132,N/A,Exhaust Pipe Sealing Ring,UF-56,4,H
1007-00167,N/A,Valve Seat Ring Exhaust,UF-56,4,H
1007-00150,1007-01414,Valve Engine Exhaust,UF-56,4,H
1007-01815,N/A,Air Valve Guide,UF-56,4,H
1007-01809,1007-00140/1007-02099,Air Valve Guide,UF-56,4,H
1007-00102,N/A,Valve Seal,UF-56,4,H
G3J00-1005004,N/A,Crankshaft Thrust,UF-56,5,I
1002-00538,N/A,Idler Engine,UF-56,5,I
1002-00391,N/A,O-ring Cylinder Liner Anti Water,UF-56,5,I
1001-03499,N/A,Bracket Front Engine Suspension,UF-56,5,I
1001-01822,N/A,Bracket Front Engine Suspension,UF-56,5,I
1002-00103,N/A,Seat Idlelr Air Compressor,UF-56,5,I
1004-00169,N/A,Valve Tappet,UF-56,5,I
1006-00041,N/A,Gear Camshaft Timng,UF-56,5,I
1002-00576,1007-01869,Valve Guide Air Pipe,UF-56,5,I
1003-00147,N/A,Cap Oil Filler,UF-56,5,I
1007-01423,1007-02208,Valve Seal,UF-56,5,I
1007-00847,N/A,Valve Outer Spring,UF-56,5,J
1004-00548,1004-01758,Bushing Piston Pin,UF-56,5,J
1007-00171,N/A,Valve Spring,UF-56,5,J
1007-00358,N/A,Seat Valve Spring Upper,UF-56,5,J
1004-00157,N/A,Valve Tappet,UF-56,5,J
1004-00739,N/A,Main Bearing Bush,UF-56,5,J
1005-00209,N/A,Gear Timing Crankshaft,UF-56,5,J
1004-00326,1004-01740,Bearing Con Rod,UF-56,5,J
1004-01874,N/A,Connecting Rod Bearing ,UF-56,5,J
1009-00137,N/A,Combined Sealing Ring,UF-56,5,J
1007-00096,N/A,Push Rod ,UF-56,5,J
3820-00841,N/A,Combination Instrument,UG-57,1,A
3820-00372,N/A,Combination Instrument,UG-57,1,A
3820-02440,3820-02350,Combination Instrument,UG-57,1,A
3820-02537,N/A,Combination Instrument,UG-57,1,A
3820-01955,N/A,Combination Instrument,UG-57,1,B
3820-02863,N/A,Combination Instrument,UG-57,1,B
3820-00444,N/A,Combination Instrument,UG-57,1,B
3820-00268,N/A,Combination Instrument,UG-57,2,C
3820-02042,N/A,Combination Instrument,UG-57,2,C
3782-00191,N/A,Combination Instrument,UG-57,2,C
3820-01034,N/A,Combination Instrument,UG-57,2,D
3820-00706,N/A,Combination Instrument,UG-57,2,D
3820-01699,N/A,Combination Instrument,UG-57,3,E
3820-00188,N/A,Combination Instrument,UG-57,3,E
3820-00620,N/A,Combination Instrument,UG-57,3,E
3820-01162,N/A,Combination Instrument,UG-57,3,F
3820-00427,N/A,Combination Instrument,UG-57,3,F
3820-01738,N/A,Combination Instrument,UG-57,3,F
3820-02350,N/A,Combination Instrument,UG-57,3,F
3820-04095,N/A,Combination Instrument,UG-57,3,F
1111-00451,N/A,Fuel Injection Pump Assy,UG-57,4,G
1111-00132,1111-00398,Fuel Injection Pump Assy,UG-57,4,G
1111-00217,N/A,Fuel Injection Pump Assy,UG-57,4,G
1111-00414,N/A,Fuel Injection Pump,UG-57,4,H
1111-00059,N/A,Fuel Injection Pump Assy,UG-57,4,H
3820-02861,N/A,Combination Instrument,UG-57,4,H
3820-02830,N/A,Combination Instrument,UG-57,4,H
1111-00724,1111-00391,Fuel Injection Pump Assy,UG-57,5,I
1111-00355,N/A,Fuel Injection Pump Assy,UG-57,5,I
1111-00156,N/A,Fuel Injection Pump Assy,UG-57,5,J
1111-00977,N/A,Fuel Injection Pump,UG-57,5,J
1311-01429,N/A,Expansion Tank ,UG-58,1,A
1311-00541,N/A,Tank,UG-58,1,A
1311-00014,N/A,Tank,UG-58,1,B
1311-01430,N/A,Tank,UG-58,2,C
3513-00012,N/A,Tank,UG-58,2,D
